"","meanBC","SDBC","lowCIBC","upCIBC","genus","geocell","occurrences","jacbeta$beta.JAC","meanjbeta","lowjbeta","upjbeta"
"1",0.0285345880482158,0.00111876985162153,0.0261040586447345,0.0304621848739496,264,49,2149,0.987011086312246,0.986751727780753,0.986071265228057,0.987440464100574
"2",0.0410285474941725,0.00269110669009578,0.0352564102564103,0.0448717948717949,115,13,511,0.970464135021097,0.970134592006101,0.967222595805501,0.973652694610778
"3",0.029227135552014,0.001484624401751,0.0261079050522648,0.0319055944055944,195,43,1249,0.985831920561879,0.985486300554644,0.984370513683483,0.986462906471243
"4",0.025134132624998,0.000738174767183367,0.0236895361295187,0.0265847005658918,354,80,2795,0.991058896917399,0.990852214610562,0.990426586725726,0.991148563161828
"5",0.026373920565245,0.000798902799584282,0.0246987951807229,0.0278701010940313,369,89,3104,0.991450381679389,0.991269195388435,0.990910049016339,0.991553588186706
"6",0.0406562155855697,0.001205570904676,0.0382135306553911,0.0429589499647639,382,57,4287,0.986101425536401,0.985873491535378,0.98519339145705,0.98634380743963
"7",0.0224952380991206,0.000668528838122016,0.0210928567130048,0.0237124519234213,425,90,2738,0.992043269458469,0.991935405956744,0.991673526662409,0.992184649003945
"8",0.0195896189982191,0.00051998593859003,0.0185154707044108,0.02056313047334,413,102,4277,0.993142171359993,0.992989805040317,0.992743284345554,0.993193144225337
"9",0.0240950420984383,0.000645065720673503,0.022817540731134,0.025353385930309,375,75,2194,0.99093763772587,0.990783951225587,0.990422997048963,0.991050934180108
"10",0.00767325427077185,0.000727927191783805,0.00628019323671498,0.00917874396135266,153,18,254,0.993446015867541,0.993115631601996,0.991845493562232,0.994217081850534
"11",0.0193910680904497,0.000409198763307161,0.0185448392554992,0.0201579244218838,657,153,6493,0.994837112242802,0.994763084901093,0.994636327631361,0.994865209295844
"12",0.0190798222050854,0.000811196160081375,0.0173976608187135,0.0206766917293233,253,31,1162,0.987650026091494,0.987401783967189,0.986515697375193,0.98820292825976
"13",0.0215639535438131,0.000485907108171558,0.0205895589558956,0.0224977043158861,587,103,5290,0.992913969682272,0.992796351535576,0.992590100642597,0.992967952541687
"14",0.0177065347751009,0.000486408043922438,0.0168120840086906,0.0187241971429615,602,108,4051,0.993695051210006,0.993532481506114,0.993205118545098,0.9937468338884
"15",0.0185533358056712,0.000951544375623502,0.0166288737717309,0.0204081632653061,218,28,963,0.987535277516463,0.987157443128731,0.986037419715163,0.988161760140938
"16",0.0209930718053957,0.000485141958342716,0.0200220195029884,0.0219254276751932,642,113,4754,0.993403840430683,0.993288462907667,0.993066554033618,0.993454119229772
"17",0.0340633702524613,0.000916470338706139,0.0323176361957525,0.0359587780640412,549,58,4111,0.987590608724538,0.987334556295992,0.986702375552008,0.987757497884587
"18",0.0269790579071135,0.00260733004847575,0.0230452674897119,0.033880070546737,150,10,484,0.978368355995056,0.977467394623577,0.971115476815274,0.980433263452131
"19",0,0,0,0,0,0,0,0,0,0,0
"20",0,0,0,0,0,0,0,0,0,0,0
"21",0,0,0,0,0,0,0,0,0,0,0
